num	arg	dist	ele
1	 -17.926	 0.51499	     Fp1
2	 -22.461	 0.42113	     AF3
3	 -39.947	 0.34459	      F3
4	 -53.913	 0.52808	      F7
5	 -69.332	 0.40823	     FC5
6	 -44.925	 0.18118	     FC1
7	     -90	 0.26669	      C3
8	     -90	 0.53318	      T7
9	 -110.67	 0.40823	     CP5
10	 -135.07	 0.18118	     CP1
11	 -140.05	 0.34459	      P3
12	 -126.09	 0.52808	      P7
13	 -157.54	 0.42113	     PO3
14	 -162.07	 0.51499	      O1
15	     180	 0.50669	      Oz
16	     180	 0.25338	      Pz
17	  17.926	 0.51499	     Fp2
18	  22.461	 0.42113	     AF4
19	       0	 0.25338	      Fz
20	  39.897	  0.3445	      F4
21	  53.867	 0.52807	      F8
22	  69.332	 0.40823	     FC6
23	  44.925	 0.18118	     FC2
24	       0	       0	      Cz
25	      90	 0.26667	      C4
26	      90	 0.53318	      T8
27	  110.67	 0.40823	     CP6
28	  135.07	 0.18118	     CP2
29	   140.1	  0.3445	      P4
30	  126.13	 0.52807	      P8
31	  157.54	 0.42113	     PO4
32	  162.07	 0.51499	      O2
